date,value,key
2019-01-01,18122443,1
2019-02-01,22277733,2
2019-03-01,14671693,3
2019-04-01,13338962,4
2019-05-01,18062457,5
2019-06-01,22845579,6
2019-07-01,21916465,7
2019-08-01,24786121,8
2019-09-01,14733642,9
2019-10-01,14858383,10
2019-11-01,18600679,11
2019-12-01,22464620,12
